date,os,grouped_category,MAU,DAU,country
2024-01-01,ANDROID,RMG,4872278,877665,U.S.
2024-01-01,IOS,RMG,5502260,1403095,U.S.
2024-01-01,ANDROID,Sportsbetting,4332724,1272367,U.S.
2024-01-01,IOS,Sportsbetting,17083618,3267821,U.S.
2024-01-02,ANDROID,RMG,4872278,961698,U.S.
2024-01-02,IOS,RMG,5502260,1398740,U.S.
2024-01-02,ANDROID,Sportsbetting,4332724,1131676,U.S.
2024-01-02,IOS,Sportsbetting,17083618,2935435,U.S.
2024-01-03,ANDROID,RMG,4872278,993721,U.S.
2024-01-03,IOS,RMG,5502260,1669213,U.S.
2024-01-03,ANDROID,Sportsbetting,4332724,1061058,U.S.
2024-01-03,IOS,Sportsbetting,17083618,2723230,U.S.
2024-01-04,ANDROID,RMG,4872278,1004499,U.S.
2024-01-04,IOS,RMG,5502260,1546900,U.S.
2024-01-04,ANDROID,Sportsbetting,4332724,1309577,U.S.
2024-01-04,IOS,Sportsbetting,17083618,3148799,U.S.
2024-01-05,ANDROID,RMG,4872278,888495,U.S.
2024-01-05,IOS,RMG,5502260,1333967,U.S.
2024-01-05,ANDROID,Sportsbetting,4332724,1041270,U.S.
2024-01-05,IOS,Sportsbetting,17083618,2855975,U.S.
2024-01-06,ANDROID,RMG,4872278,963420,U.S.
2024-01-06,IOS,RMG,5502260,1735858,U.S.
2024-01-06,ANDROID,Sportsbetting,4332724,1106018,U.S.
2024-01-06,IOS,Sportsbetting,17083618,3163655,U.S.
2024-01-07,ANDROID,RMG,4872278,852701,U.S.
2024-01-07,IOS,RMG,5502260,1248563,U.S.
2024-01-07,ANDROID,Sportsbetting,4332724,1279938,U.S.
2024-01-07,IOS,Sportsbetting,17083618,3417971,U.S.
2024-01-08,ANDROID,RMG,4872278,790499,U.S.
2024-01-08,IOS,RMG,5502260,1115589,U.S.
2024-01-08,ANDROID,Sportsbetting,4332724,1016587,U.S.
2024-01-08,IOS,Sportsbetting,17083618,2953207,U.S.
2024-01-09,ANDROID,RMG,4872278,844490,U.S.
2024-01-09,IOS,RMG,5502260,1099164,U.S.
2024-01-09,ANDROID,Sportsbetting,4332724,898547,U.S.
2024-01-09,IOS,Sportsbetting,17083618,2594355,U.S.
2024-01-10,ANDROID,RMG,4872278,871487,U.S.
2024-01-10,IOS,RMG,5502260,1268370,U.S.
2024-01-10,ANDROID,Sportsbetting,4332724,853021,U.S.
2024-01-10,IOS,Sportsbetting,17083618,2433293,U.S.
2024-01-11,ANDROID,RMG,4872278,861145,U.S.
2024-01-11,IOS,RMG,5502260,1164374,U.S.
2024-01-11,ANDROID,Sportsbetting,4332724,1034060,U.S.
2024-01-11,IOS,Sportsbetting,17083618,2755059,U.S.
2024-01-12,ANDROID,RMG,4872278,804129,U.S.
2024-01-12,IOS,RMG,5502260,1033193,U.S.
2024-01-12,ANDROID,Sportsbetting,4332724,866142,U.S.
2024-01-12,IOS,Sportsbetting,17083618,2601166,U.S.
2024-01-13,ANDROID,RMG,4872278,859440,U.S.
2024-01-13,IOS,RMG,5502260,1294166,U.S.
2024-01-13,ANDROID,Sportsbetting,4332724,938134,U.S.
2024-01-13,IOS,Sportsbetting,17083618,2989841,U.S.
2024-01-14,ANDROID,RMG,4872278,778010,U.S.
2024-01-14,IOS,RMG,5502260,1159954,U.S.
2024-01-14,ANDROID,Sportsbetting,4332724,1111380,U.S.
2024-01-14,IOS,Sportsbetting,17083618,3144505,U.S.
2024-01-15,ANDROID,RMG,4872278,726048,U.S.
2024-01-15,IOS,RMG,5502260,984553,U.S.
2024-01-15,ANDROID,Sportsbetting,4332724,903273,U.S.
2024-01-15,IOS,Sportsbetting,17083618,2630374,U.S.
2024-01-16,ANDROID,RMG,4872278,767505,U.S.
2024-01-16,IOS,RMG,5502260,983895,U.S.
2024-01-16,ANDROID,Sportsbetting,4332724,780022,U.S.
2024-01-16,IOS,Sportsbetting,17083618,2250974,U.S.
2024-01-17,ANDROID,RMG,4872278,788751,U.S.
2024-01-17,IOS,RMG,5502260,1160641,U.S.
2024-01-17,ANDROID,Sportsbetting,4332724,756173,U.S.
2024-01-17,IOS,Sportsbetting,17083618,2173803,U.S.
2024-01-18,ANDROID,RMG,4872278,778941,U.S.
2024-01-18,IOS,RMG,5502260,1063023,U.S.
