date,country,vertical,os, avg_user_spend,cftd,dau, mau
2024-08-01,USA,RMG,ANDROID,$167.92,$936.26,551997,4557050
2024-08-01,USA,,IOS,$174.89,$334.22,868258,7869468
2024-08-01,USA,Sportsbetting,IOS,$250.29,$326.93,1444865,21795497
2024-08-02,USA,RMG,ANDROID,$144.03,$629.13,548071,4557050
2024-08-02,USA,,IOS,$205.27,$738.42,780573,7869468
2024-08-02,USA,Sportsbetting,IOS,$103.64,$72.25,1562708,21795497
2024-08-03,USA,RMG,ANDROID,$153.20,$492.78,546075,4557050
2024-08-03,USA,,IOS,$218.75,$861.73,870421,7869468
2024-08-03,USA,Sportsbetting,IOS,$237.40,$291.37,1635996,21795497
2024-08-04,USA,RMG,ANDROID,$118.11,$412.33,590974,4557050
2024-08-04,USA,,IOS,$200.15,$485.00,846303,7869468
2024-08-04,USA,Sportsbetting,IOS,$251.86,$285.46,1642285,21795497
2024-08-05,USA,RMG,ANDROID,$135.21,$535.04,539386,4557050
2024-08-05,USA,,IOS,$200.62,$565.21,697245,7869468
2024-08-05,USA,Sportsbetting,IOS,$115.23,$82.80,1545570,21795497
2024-08-06,USA,RMG,ANDROID,$131.90,$537.94,563651,4557050
2024-08-06,USA,,IOS,$202.07,$379.09,745167,7869468
2024-08-06,USA,Sportsbetting,IOS,$101.31,$57.07,1549991,21795497
2024-08-07,USA,RMG,ANDROID,$132.41,$529.49,603172,4557050
2024-08-07,USA,,IOS,$202.93,$542.19,853796,7869468
2024-08-07,USA,Sportsbetting,IOS,$189.44,$176.63,1701025,21795497
2024-08-08,USA,RMG,ANDROID,$121.88,$657.12,585276,4557050
2024-08-08,USA,,IOS,$207.93,$498.05,852673,7869468
2024-08-08,USA,Sportsbetting,IOS,$315.08,$359.70,1649909,21795497
2024-08-09,USA,RMG,ANDROID,$119.66,$571.44,574166,4557050
2024-08-09,USA,,IOS,$189.77,$570.63,763935,7869468
2024-08-09,USA,Sportsbetting,ANDROID,,,601474,4765560
2024-08-09,USA,,IOS,$185.37,$204.29,1783132,21795497
2024-08-10,USA,RMG,ANDROID,$151.48,$487.26,571403,4557050
2024-08-10,USA,,IOS,$217.97,$946.04,864507,7869468
2024-08-10,USA,Sportsbetting,ANDROID,,,616863,4765560
2024-08-10,USA,,IOS,$298.26,$345.85,1825219,21795497
2024-08-11,USA,RMG,ANDROID,$145.82,$888.28,560527,4557050
