date,os,vertical,country,MAU,DAU,avg_cpm,avg_cpi,avg_ftd_rate,cftd,avg_user_spend,total_gross_spend,num_app_bundles,,-- Changes made 0828
2024-08-01,ANDROID,RMG,USA,3592300,551997,$36.24,$18.40,1.15%,$927.67,535.7824992,"$8,529.83",4,,-- RMG / Sportsbetting rollup using .dataai.sub_genre rather than GDS Insights Engine Definition
2024-08-01,IOS,RMG,USA,4403306,868258,$42.15,$45.25,0.00%,,412.3916504,"$9,455.60",4,,-- Event-based FTDs via whitelist + deposit-only catchall
2024-08-01,ANDROID,Sportsbetting,USA,3089751,547122,$37.69,$37.02,0.71%,"$2,839.91",2790.956221,"$5,581.91",2,,-- Removed MAU
2024-08-01,IOS,Sportsbetting,USA,14861174,1444865,$13.98,$32.92,16.85%,$292.86,246.6009913,"$19,298.98",7,,-- Daily distinct bundle counts
2024-08-02,ANDROID,RMG,USA,3592300,548071,$35.37,$16.99,2.86%,$320.79,580.6937189,"$7,885.69",4,,-- Country only USA
2024-08-02,IOS,RMG,USA,4403306,780573,$15.23,$37.55,3.85%,"$1,977.35",743.0882599,"$11,755.90",3,,-- Minimum of 10 installs per period and $500+ to be included in benchmark
2024-08-02,ANDROID,Sportsbetting,USA,3089751,564706,$39.02,$35.48,5.88%,$226.02,668.0682548,"$5,344.55",2,,
2024-08-02,IOS,Sportsbetting,USA,14861174,1562708,$17.68,$35.36,5.42%,$31.85,211.0314899,"$21,049.61",6,,WITH daily_agg AS (
2024-08-03,ANDROID,RMG,USA,3592300,546075,$34.46,$16.83,0.90%,$942.25,688.8119447,"$8,102.13",4,,SELECT
2024-08-03,IOS,RMG,USA,4403306,870421,$14.48,$62.84,6.67%,"$2,321.84",823.9482998,"$13,385.63",3,,"f.date_utc AS date,"
2024-08-03,ANDROID,Sportsbetting,USA,3089751,577555,$39.52,$37.74,,,639.6605794,"$5,371.96",2,,"f.os,"
2024-08-03,IOS,Sportsbetting,USA,14861174,1635996,$16.29,$32.52,6.08%,$503.10,348.1425915,"$24,465.72",7,,CASE
2024-08-04,ANDROID,RMG,USA,3592300,590974,$35.17,$16.82,2.56%,$330.31,227.3450234,"$7,507.24",4,,"WHEN d.dataai.sub_genre IN ('Sports Betting', 'Fantasy Sports') THEN 'Sportsbetting'"
2024-08-04,IOS,RMG,USA,4403306,846303,$11.76,$46.55,21.74%,$438.25,454.159316,"$12,802.94",3,,WHEN d.dataai.sub_genre = 'Casinos & Gambling' THEN 'RMG'
2024-08-04,ANDROID,Sportsbetting,USA,3089751,618052,$43.07,$39.93,5.88%,$292.18,486.3008448,"$5,639.48",2,,ELSE 'Other'
2024-08-04,IOS,Sportsbetting,USA,14861174,1642285,$18.89,$33.33,4.25%,$451.60,357.1387291,"$19,977.63",6,,"END AS grouped_category,"
2024-08-05,ANDROID,RMG,USA,3592300,539386,$38.14,$13.73,2.02%,$220.52,404.5155224,"$7,553.68",4,,"f.country,"
2024-08-05,IOS,RMG,USA,4403306,697245,$7.92,$58.07,15.76%,$668.85,505.9558786,"$12,658.10",3,,"SUM(f.monthly.active_users) AS total_MAU,"
2024-08-05,ANDROID,Sportsbetting,USA,3089751,600919,$42.19,$41.60,5.88%,$296.94,555.9999462,"$4,669.17",2,,SUM(f.daily.active_users) AS total_DAU
2024-08-05,IOS,Sportsbetting,USA,14861174,1545570,$14.80,$28.54,2.04%,$331.15,321.3822511,"$18,221.43",6,,FROM `moloco-ae-view.athena.fact_app` f
2024-08-06,ANDROID,RMG,USA,3592300,563651,$37.27,$13.01,3.17%,$157.65,258.2784314,"$7,530.99",4,,JOIN `moloco-ae-view.athena.dim1_app` d
2024-08-06,IOS,RMG,USA,4403306,745167,$8.33,$50.59,23.28%,$436.21,357.6388956,"$13,453.94",3,,ON f.app_market_bundle = d.app_market_bundle
2024-08-06,ANDROID,Sportsbetting,USA,3089751,583510,$40.90,$41.14,19.35%,$96.22,589.1194817,"$4,905.39",2,,AND f.os = d.os
2024-08-06,IOS,Sportsbetting,USA,14861174,1549991,$16.21,$28.63,2.02%,$110.47,169.8755664,"$21,492.49",6,,"WHERE d.dataai.sub_genre IN ('Sports Betting','Fantasy Sports','Casinos & Gambling')"
2024-08-07,ANDROID,RMG,USA,3592300,603172,$38.42,$18.18,2.78%,$384.82,447.1350856,"$7,996.16",4,,AND f.date_utc >= '2024-08-01'
2024-08-07,IOS,RMG,USA,4403306,853796,$8.39,$50.61,13.85%,$814.59,532.8443532,"$14,013.23",3,,AND f.country IN ('USA')
2024-08-07,ANDROID,Sportsbetting,USA,3089751,608643,$38.83,$39.30,10.34%,$182.76,497.3118778,"$4,607.61",2,,"GROUP BY date, f.os, grouped_category, f.country"
2024-08-07,IOS,Sportsbetting,USA,14861174,1701025,$16.99,$33.39,6.20%,$222.42,245.8165861,"$23,907.13",7,,"),"
2024-08-08,ANDROID,RMG,USA,3592300,585276,$41.69,$15.81,0.89%,"$1,055.26",599.561223,"$9,204.50",4,,
2024-08-08,IOS,RMG,USA,4403306,852673,$10.67,$56.27,17.65%,$890.01,407.8525849,"$12,886.27",3,,
2024-08-08,ANDROID,Sportsbetting,USA,3089751,587673,$41.00,$33.23,6.67%,$278.02,352.2868826,"$4,821.59",2,,main AS (
2024-08-08,IOS,Sportsbetting,USA,14861174,1649909,$16.15,$33.67,5.61%,$488.33,304.9636766,"$25,397.16",7,,SELECT
2024-08-09,ANDROID,RMG,USA,3592300,574166,$37.11,$15.50,1.11%,$826.40,903.2814654,"$9,140.10",4,,"date,"
2024-08-09,IOS,RMG,USA,4403306,763935,$6.16,$43.38,20.00%,$455.91,372.4746572,"$12,778.94",3,,"os,"
