date,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,total_gross_spend
2024-08-01,USA,IOS,Sportsbetting,Video,23.526183,49.59390991,0.08816425121,591.1397149,418.3532302,6197.020188
2024-08-01,USA,IOS,RMG,Statics,0.407389027,16.44190361,0.07178043631,341.9740856,138.0268218,34363.65753
2024-08-01,USA,IOS,Sportsbetting,Statics,0.5507305,9.887203373,0.07839721254,62.72501712,82.21895787,5467.161134
2024-08-01,USA,IOS,RMG,Video,38.62767484,21.78894382,0.07631990787,326.475529,183.8112661,142139.1017
2024-08-01,USA,ANDROID,RMG,Video,61.27864457,22.28498805,0.02753361881,1483.441423,238.8965853,80174.69861
2024-08-01,USA,IOS,RMG,Playables,63.5816815,12.81523631,0,,202.8383782,5218.516029
2024-08-01,USA,ANDROID,RMG,Playables,48.099109,14.06201426,0,,180.159274,1579.370646
2024-08-01,USA,ANDROID,RMG,Statics,1.514736556,17.05434651,0.25,389.0873941,84.70893685,9017.487342
2024-08-02,USA,ANDROID,RMG,Video,60.48707645,19.03314054,0.04858474858,629.1310664,205.8356512,81025.02328
2024-08-02,USA,IOS,RMG,Video,38.59307102,20.52698434,0.05275923697,1028.32509,242.4212446,146052.8772
2024-08-02,USA,IOS,RMG,Statics,0.467455114,22.94596716,0.1232638889,448.5234779,174.3483443,37103.74712
2024-08-02,USA,IOS,Sportsbetting,Video,28.758493,47.46617978,0.04114906832,90.96504063,114.3121019,7305.380754
2024-08-02,USA,IOS,Sportsbetting,Statics,0.652091,15.83599458,0.08108108108,53.53221928,92.95968053,7127.128378
2024-08-02,USA,IOS,RMG,Playables,68.05780211,14.44500843,0,,199.0351868,5932.37718
2024-08-02,USA,ANDROID,RMG,Playables,45.20044433,16.0687753,0,,128.1677461,1712.800438
2024-08-02,USA,ANDROID,RMG,Statics,1.531467242,13.84490992,0,,98.09310572,8925.159371
2024-08-03,USA,IOS,Sportsbetting,Video,29.426711,42.5789466,0.0839609888,510.3210284,369.3807082,9233.744319
2024-08-03,USA,IOS,Sportsbetting,Statics,0.738743,17.32887903,0.07355021216,72.41732406,105.4125484,8194.749578
2024-08-03,USA,IOS,RMG,Video,33.36542181,24.24218808,0.05796210958,1232.17338,319.0536406,148821.0429
2024-08-03,USA,ANDROID,RMG,Statics,1.552380344,13.26189582,0.1944444444,366.8010582,118.3384716,8116.923324
2024-08-03,USA,ANDROID,RMG,Video,58.42687908,25.80716935,0.06530992715,618.7561527,188.4045354,78181.0286
2024-08-03,USA,IOS,RMG,Statics,0.449755294,17.42762295,0.0721973572,491.2878808,160.0349152,41938.04692
2024-08-03,USA,IOS,Sportsbetting,Playables,46.192219,47.76275487,,,,47.76275487
2024-08-03,USA,ANDROID,RMG,Playables,57.145179,23.15212359,0,,152.8546652,1757.362274
2024-08-03,USA,IOS,RMG,Playables,68.51031038,14.24668304,0,,177.1467513,5587.271282
2024-08-04,USA,IOS,RMG,Video,34.7328061,24.67843477,0.09798034793,637.6086049,249.3981521,153576.9537
