utc_week,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,gross_spend_usd,spend_share,unique_bundle_count,,https://moloco.looker.com/explore/ads_bpd_china/fact_dsp_all_joined?qid=kwWfa0cZQn2kEMQOesyzK6,,,WITH main as (WITH fact_dsp_creative AS (
2024-10-28,USA,ANDROID,RMG,Video,84.7984428,18.21686366,0.0300990676,1259.315551,283.4040657,747731.9977,0.832871011,45,,,,,SELECT *
2024-10-28,USA,ANDROID,RMG,Playables,144.3515971,26.31736114,0.05329131653,910.3838185,300.0546718,92520.47073,0.341875342,11,,Looker view to cross check Unique bundles,,,FROM moloco-ae-view.athena.fact_dsp_all
2024-12-02,USA,ANDROID,RMG,Video,83.14545555,19.73254334,0.06445615982,720.6171864,308.1179162,675576.7724,0.805612719,42,,,,,WHERE timestamp_utc >= TIMESTAMP('2024-08-01 00:00:00')
2025-04-14,USA,ANDROID,RMG,Video,76.71142833,20.37821036,0.03991955757,1824.431428,295.6703987,871876.6529,0.823205958,52,,,,,)
2025-05-19,USA,IOS,RMG,Video,54.53078011,39.46254741,0.1269629344,849.2757249,478.2869235,1558237.644,0.701669096,46,,,,,SELECT
2025-06-16,USA,ANDROID,RMG,Video,77.91308798,24.5121471,0.07764191016,950.3096519,279.5486475,738077.6736,0.803275766,43,,,,,"FORMAT_TIMESTAMP('%F', TIMESTAMP_TRUNC(timestamp_utc, WEEK(MONDAY))) AS utc_week,"
2025-07-21,USA,ANDROID,RMG,Video,64.02299256,21.89687288,0.07475905948,692.7241559,299.2814057,438272.3337,0.79027555,41,,,,,"f.campaign.country AS country,"
2025-08-04,GBR,IOS,RMG,Statics,0.801814364,39.88772469,0.1170635377,177.7988099,341.6821672,96080.54934,0.469748116,11,,,,,"f.campaign.os AS os,"
2024-10-14,USA,ANDROID,RMG,Video,84.64208914,20.30206173,0.01432155954,2502.001862,274.4334922,875658.3497,0.889862094,49,,,,,"case when a.rmg_segment = 'Sports Betting' then 'Sportsbetting' else 'RMG' end as vertical,"
2025-04-28,USA,ANDROID,RMG,Statics,2.33435392,17.97323209,0.02393700787,1066.075759,219.9574723,102528.0631,0.280281802,25,,,,,CASE
2025-05-26,USA,IOS,RMG,Video,50.86220728,37.88991707,0.08807724601,860.478935,497.2196436,1437950.037,0.692078975,46,,,,,"WHEN f.creative.format IN ('nv', 'vi', 'vb')"
2025-06-30,USA,ANDROID,RMG,Playables,90.43325692,12.64253824,0,,112.4499323,71244.39516,0.425074055,13,,,,,THEN 'Video'
2025-07-14,USA,ANDROID,RMG,Playables,82.27198238,22.14504621,0.05341880342,910.1340843,249.8801627,102651.5139,0.458159505,16,,,,,"WHEN f.creative.format IN ('db', 'ib', 'di', 'ii', 'ni', 'nl')"
2025-07-14,USA,ANDROID,RMG,Statics,3.34312045,14.46419406,0.03571428571,1239.382327,273.8628193,56443.51375,0.168911618,20,,,,,THEN 'Statics'
2024-11-18,USA,IOS,RMG,Playables,53.8411914,44.73286126,0.03910614525,436.2829604,221.6215522,78396.48028,0.282593268,15,,,,,"WHEN f.creative.format IN ('ri', 'rb')"
2024-12-09,BRA,ANDROID,RMG,Video,10.574057,2.925227105,,,32.5269161,81186.17678,0.993212152,7,,,,,THEN 'Playables'
2025-03-03,USA,ANDROID,RMG,Video,73.16940798,39.28736481,0.06408429197,917.2123814,222.9440835,887462.2253,0.843148557,48,,,,,"END AS creative_format,"
2025-04-28,USA,ANDROID,RMG,Video,62.04307907,18.49814801,0.03820103043,915.2937794,250.0344563,892164.3324,0.83949791,56,,,,,"f.product.app_market_bundle AS fact_dsp_creative_product_app_market_bundle,"
2025-05-19,USA,ANDROID,RMG,Playables,89.91774407,10.02441719,0,,148.2072895,69682.34448,0.328066335,15,,,,,"SAFE_DIVIDE(COALESCE(SUM(f.gross_spend_usd), 0), COALESCE(SUM(f.impressions), 0)) * 1000 AS cpm,"
2024-09-02,USA,ANDROID,RMG,Video,74.24505269,16.8607155,0.05484859722,886.7399684,197.3130215,863978.6912,0.905073287,52,,,,,"SAFE_DIVIDE(COALESCE(SUM(f.gross_spend_usd), 0), COALESCE(SUM(f.installs), 0)) AS cpi,"
