week_utc,week_start,week_end,os,format_type,sub_genre,n_apps,cpm_bm,ctr_bm,ipm_bm,cvr_bm,i2a_bm,cpa_bm,cpi_bm,cpftd_bm,cohort_imp,cohort_clk,cohort_ins,cohort_act,cohort_spend,cpm_weighted,cpi_weighted,cpftd_weighted,format_spend_share
2024-08-05,2024-08-05,2024-08-11,IOS,Playables,RMG,1,,,,,,,,,,,,,$975.80,,,,0.66%
2024-08-05,2024-08-05,2024-08-11,IOS,Video,RMG,4,$19.33,24.26%,0.36,0.02%,8.93%,$619.51,$56.48,$621.64,6138825,1248349,2362,202,"$112,120.46",18.26415562,47.46843994,555.0517581,76.33%
2024-08-05,2024-08-05,2024-08-11,ANDROID,Video,RMG,4,$36.37,27.13%,2.93,0.03%,3.34%,$333.63,$14.99,$416.16,1428226,376691,4189,159,"$60,789.63",42.56303168,14.51172797,382.3247074,90.77%
2024-08-05,2024-08-05,2024-08-11,IOS,Statics,RMG,5,$0.72,0.30%,0.02,0.05%,17.33%,$421.85,$28.60,$421.85,67187194,171902,1336,145,"$33,791.54",0.502946083,25.29306588,233.045076,23.00%
2024-08-05,2024-08-05,2024-08-11,ANDROID,Statics,RMG,5,$1.08,0.55%,0.12,0.04%,3.03%,$361.58,$8.75,$542.37,6324529,33596,1982,8,"$6,178.54",0.976917364,3.117327044,772.317775,9.23%
2024-08-05,2024-08-05,2024-08-11,IOS,Playables,Sportsbetting,1,,,,,,,,,,,,,$487.79,,,,0.35%
2024-08-05,2024-08-05,2024-08-11,ANDROID,Playables,Sportsbetting,1,,,,,,,,,,,,,$400.72,,,,0.98%
2024-08-05,2024-08-05,2024-08-11,ANDROID,Video,Sportsbetting,3,$38.14,29.50%,1.06,0.04%,8.64%,$436.84,$17.88,$442.64,751071,182033,805,64,"$35,125.03",46.76659683,43.63358341,548.8286664,85.60%
2024-08-05,2024-08-05,2024-08-11,ANDROID,Statics,Sportsbetting,3,$1.17,0.26%,0.02,0.02%,2.79%,"$2,556.02",$56.68,"$2,556.02",4793901,10606,79,2,"$5,508.82",1.149130039,69.73184358,2754.407821,13.42%
2024-08-05,2024-08-05,2024-08-11,IOS,Statics,Sportsbetting,7,$0.42,0.11%,0.11,0.41%,8.56%,$61.48,$10.87,$102.94,121722376,164518,21152,665,"$57,787.71",0.474750087,2.732021017,86.89880986,41.04%
2024-08-05,2024-08-05,2024-08-11,IOS,Video,Sportsbetting,7,$20.83,27.75%,0.97,0.07%,15.38%,$82.08,$32.75,$121.89,2634927,810711,4542,577,"$82,539.37",31.32510531,18.17247155,143.0491608,58.62%
2024-08-12,2024-08-12,2024-08-18,IOS,Playables,RMG,1,,,,,,,,,,,,,$974.74,,,,0.66%
2024-08-12,2024-08-12,2024-08-18,ANDROID,Video,RMG,4,$40.84,26.17%,2.95,0.04%,4.63%,$251.66,$17.55,$379.92,1382852,386540,3680,167,"$64,748.27",46.82226914,17.59463819,387.7141828,91.44%
2024-08-12,2024-08-12,2024-08-18,IOS,Video,RMG,4,$22.46,22.46%,0.40,0.02%,7.69%,$801.75,$57.44,$803.79,6363830,1087817,2562,185,"$111,668.86",17.54742908,43.5865947,603.6154358,76.12%
2024-08-12,2024-08-12,2024-08-18,IOS,Statics,RMG,5,$0.68,0.17%,0.02,0.09%,20.05%,$460.12,$20.68,$460.12,68992692,161913,1334,181,"$34,054.55",0.49359653,25.52815093,188.1467036,23.21%
2024-08-12,2024-08-12,2024-08-18,ANDROID,Statics,RMG,5,$0.89,0.41%,0.08,0.04%,2.54%,$492.33,$10.66,$678.95,6172965,29124,1730,3,"$6,065.14",0.982532731,3.505861363,2021.713386,8.56%
2024-08-12,2024-08-12,2024-08-18,IOS,Playables,Sportsbetting,1,,,,,,,,,,,,,"$22,558.35",,,,9.12%
2024-08-12,2024-08-12,2024-08-18,ANDROID,Playables,Sportsbetting,1,,,,,,,,,,,,,$379.17,,,,0.65%
2024-08-12,2024-08-12,2024-08-18,ANDROID,Video,Sportsbetting,3,$40.96,29.55%,0.89,0.02%,3.84%,$981.57,$34.91,"$1,047.43",1216286,293423,1086,54,"$47,608.57",39.14257471,43.83845822,881.6401042,82.11%
2024-08-12,2024-08-12,2024-08-18,ANDROID,Statics,Sportsbetting,3,$1.77,0.19%,0.02,0.04%,4.55%,$867.49,$59.84,$867.49,7741591,30833,177,11,"$9,991.24",1.290592907,56.44769738,908.294767,17.23%
2024-08-12,2024-08-12,2024-08-18,IOS,Video,Sportsbetting,6,$19.77,25.30%,0.83,0.07%,28.57%,$105.77,$22.13,$132.63,2748189,902175,4259,463,"$97,275.58",35.39624895,22.84000516,210.0984492,39.31%
2024-08-12,2024-08-12,2024-08-18,IOS,Statics,Sportsbetting,6,$0.48,0.11%,0.14,0.45%,15.34%,$48.48,$7.95,$58.04,135720253,587178,26114,2171,"$127,617.33",0.940296847,4.886931377,58.78273883,51.57%
2024-08-19,2024-08-19,2024-08-25,IOS,Playables,RMG,1,,,,,,,,,,,,,$402.49,,,,0.27%
2024-08-19,2024-08-19,2024-08-25,ANDROID,Video,RMG,4,$52.81,28.98%,3.65,0.03%,2.55%,$438.95,$21.15,$807.99,1217537,367810,3675,81,"$65,471.49",53.77371955,17.81537229,808.2900392,92.20%
2024-08-19,2024-08-19,2024-08-25,IOS,Video,RMG,4,$23.29,20.36%,0.41,0.02%,7.54%,$868.76,$63.70,$871.38,6637137,958362,2546,188,"$114,968.25",17.32196429,45.15642186,611.533245,76.27%
2024-08-19,2024-08-19,2024-08-25,ANDROID,Statics,RMG,5,$1.07,0.56%,0.11,0.07%,2.63%,$324.74,$8.55,$324.74,5029448,29923,2217,2,"$5,541.35",1.10178171,2.499483004,2770.67691,7.80%
2024-08-19,2024-08-19,2024-08-25,IOS,Statics,RMG,5,$0.63,0.15%,0.02,0.10%,22.08%,$430.62,$22.87,$430.62,64882319,178341,1362,202,"$35,368.00",0.54510992,25.96769142,175.0890877,23.46%
2024-08-19,2024-08-19,2024-08-25,IOS,Playables,Sportsbetting,1,,,,,,,,,,,,,"$13,554.24",,,,3.83%
2024-08-19,2024-08-19,2024-08-25,ANDROID,Playables,Sportsbetting,1,,,,,,,,,,,,,$192.66,,,,0.27%
2024-08-19,2024-08-19,2024-08-25,ANDROID,Video,Sportsbetting,5,$24.39,25.53%,0.95,0.01%,4.71%,$822.60,$22.39,$822.60,1681600,451148,1598,95,"$62,203.63",36.99074045,38.92592562,654.7750435,85.68%
2024-08-19,2024-08-19,2024-08-25,ANDROID,Statics,Sportsbetting,5,$1.37,0.31%,0.02,0.05%,7.32%,$317.18,$21.32,$317.18,8968483,38527,275,23,"$10,205.65",1.137945667,37.11144135,443.7237553,14.06%
2024-08-19,2024-08-19,2024-08-25,IOS,Video,Sportsbetting,7,$22.47,25.80%,0.80,0.03%,12.30%,$198.09,$20.29,$238.23,7303494,2279102,13762,870,"$191,189.93",26.17787226,13.89259795,219.7585437,54.05%
2024-08-19,2024-08-19,2024-08-25,IOS,Statics,Sportsbetting,8,$0.65,0.18%,0.11,0.29%,14.71%,$46.91,$11.05,$74.74,174989395,677518,21758,1903,"$148,993.36",0.85144223,6.847750749,78.2939363,42.12%
2024-08-26,2024-08-26,2024-09-01,IOS,Playables,RMG,1,,,,,,,,,,,,,$199.88,,,,0.13%
2024-08-26,2024-08-26,2024-09-01,IOS,Video,RMG,4,$21.98,21.25%,0.35,0.02%,10.17%,$743.72,$67.82,$749.63,6463687,959528,2205,200,"$106,101.00",16.41493422,48.11836595,530.5049846,71.59%
2024-08-26,2024-08-26,2024-09-01,ANDROID,Video,RMG,5,$42.95,27.96%,3.36,0.03%,4.72%,$385.16,$18.48,$409.97,1361883,405255,4757,158,"$67,803.78",49.78678793,14.2534749,429.1378488,90.67%
2024-08-26,2024-08-26,2024-09-01,IOS,Statics,RMG,5,$0.63,0.17%,0.03,0.07%,19.22%,$540.71,$18.31,$540.71,86931109,186788,2443,375,"$41,908.44",0.482087998,17.15450035,111.7558516,28.28%
2024-08-26,2024-08-26,2024-09-01,ANDROID,Statics,RMG,6,$0.99,0.63%,0.10,0.11%,5.04%,$101.47,$12.08,$165.67,6460602,43730,1858,8,"$6,978.12",1.080103192,3.755714126,872.2646057,9.33%
2024-08-26,2024-08-26,2024-09-01,IOS,Playables,Sportsbetting,1,,,,,,,,,,,,,"$3,893.54",,,,0.71%
2024-08-26,2024-08-26,2024-09-01,ANDROID,Playables,Sportsbetting,1,,,,,,,,,,,,,$84.68,,,,0.09%
2024-08-26,2024-08-26,2024-09-01,ANDROID,Video,Sportsbetting,5,$34.64,29.51%,0.87,0.02%,5.96%,$490.27,$40.11,$504.28,2282434,636988,2276,131,"$76,958.84",33.71788349,33.81320021,587.4720891,84.50%
