date,os,vertical,country,total_DAU,total_downloads,total_duration_minutes
2024-08-01,ANDROID,RMG,USA,"551,997","7,779","9,280,195"
2024-08-01,IOS,RMG,USA,"868,258","22,256","5,211,271"
2024-08-01,ANDROID,Sportsbetting,USA,"547,135","14,015","6,782,261"
2024-08-01,IOS,Sportsbetting,USA,"1,444,865","64,482","19,810,854"
2024-08-02,ANDROID,RMG,USA,"548,071","9,302","10,320,247"
2024-08-02,IOS,RMG,USA,"780,573","23,004","6,847,100"
2024-08-02,ANDROID,Sportsbetting,USA,"564,720","30,791","7,042,790"
2024-08-02,IOS,Sportsbetting,USA,"1,562,708","79,043","19,067,403"
2024-08-03,ANDROID,RMG,USA,"546,075","10,805","9,329,394"
2024-08-03,IOS,RMG,USA,"870,421","23,301","7,349,162"
2024-08-03,IOS,Sportsbetting,USA,"1,635,996","97,454","20,895,028"
2024-08-03,ANDROID,Sportsbetting,USA,"577,569","37,979","7,903,525"
2024-08-04,IOS,RMG,USA,"846,303","20,479","5,577,182"
2024-08-04,ANDROID,RMG,USA,"590,974","9,101","9,340,049"
2024-08-04,ANDROID,Sportsbetting,USA,"618,052","16,063","8,166,439"
2024-08-04,IOS,Sportsbetting,USA,"1,642,285","64,727","20,400,583"
2024-08-05,IOS,RMG,USA,"697,245","19,094","5,185,548"
2024-08-05,ANDROID,RMG,USA,"539,386","7,586","9,510,542"
2024-08-05,ANDROID,Sportsbetting,USA,"600,919","17,167","6,850,895"
2024-08-05,IOS,Sportsbetting,USA,"1,545,570","67,054","18,940,678"
2024-08-06,ANDROID,RMG,USA,"563,651","8,027","8,561,088"
2024-08-06,IOS,RMG,USA,"745,167","21,336","6,504,256"
2024-08-06,IOS,Sportsbetting,USA,"1,549,991","71,835","19,964,712"
2024-08-06,ANDROID,Sportsbetting,USA,"583,510","18,404","6,944,888"
2024-08-07,IOS,RMG,USA,"853,796","21,831","6,292,440"
2024-08-07,ANDROID,RMG,USA,"603,172","7,508","8,996,994"
2024-08-07,ANDROID,Sportsbetting,USA,"608,643","19,112","8,160,301"
2024-08-07,IOS,Sportsbetting,USA,"1,701,025","94,721","20,689,775"
2024-08-08,IOS,RMG,USA,"852,673","20,662","5,219,848"
2024-08-08,ANDROID,RMG,USA,"585,276","8,868","8,769,173"
2024-08-08,ANDROID,Sportsbetting,USA,"587,673","19,216","6,893,957"
2024-08-08,IOS,Sportsbetting,USA,"1,649,909","101,281","21,186,276"
2024-08-09,IOS,RMG,USA,"763,935","20,513","8,211,778"
2024-08-09,ANDROID,RMG,USA,"574,166","9,172","10,242,522"
2024-08-09,IOS,Sportsbetting,USA,"1,783,132","110,141","20,206,728"
2024-08-09,ANDROID,Sportsbetting,USA,"601,474","30,372","7,382,268"
2024-08-10,IOS,RMG,USA,"864,507","24,768","7,640,720"
2024-08-10,ANDROID,RMG,USA,"571,403","11,258","9,083,490"
2024-08-10,IOS,Sportsbetting,USA,"1,825,219","100,499","22,446,972"
2024-08-10,ANDROID,Sportsbetting,USA,"616,863","33,689","8,120,151"
2024-08-11,ANDROID,RMG,USA,"560,527","9,514","9,368,562"
2024-08-11,IOS,RMG,USA,"898,575","23,059","5,618,813"
2024-08-11,ANDROID,Sportsbetting,USA,"659,431","23,484","7,183,301"
2024-08-11,IOS,Sportsbetting,USA,"1,969,956","118,927","22,769,754"
2024-08-12,ANDROID,RMG,USA,"510,380","7,034","9,533,588"
2024-08-12,IOS,RMG,USA,"746,783","21,935","5,133,171"
2024-08-12,ANDROID,Sportsbetting,USA,"657,729","32,280","6,051,732"
2024-08-12,IOS,Sportsbetting,USA,"1,950,034","110,038","19,975,140"
2024-08-13,IOS,RMG,USA,"789,044","19,467","6,739,866"
2024-08-13,ANDROID,RMG,USA,"533,498","9,350","8,968,559"
2024-08-13,IOS,Sportsbetting,USA,"1,960,770","114,156","22,266,654"
2024-08-13,ANDROID,Sportsbetting,USA,"644,242","24,501","6,532,029"
2024-08-14,IOS,RMG,USA,"904,534","22,299","6,907,982"
2024-08-14,ANDROID,RMG,USA,"573,152","8,748","9,036,489"
2024-08-14,IOS,Sportsbetting,USA,"2,117,833","141,542","23,472,853"
2024-08-14,ANDROID,Sportsbetting,USA,"661,158","27,903","7,172,529"
2024-08-15,ANDROID,RMG,USA,"556,766","7,411","8,891,746"
2024-08-15,IOS,RMG,USA,"902,263","20,468","5,283,762"
2024-08-15,IOS,Sportsbetting,USA,"2,003,616","112,201","24,842,797"
2024-08-15,ANDROID,Sportsbetting,USA,"637,968","22,360","6,600,151"
2024-08-16,ANDROID,RMG,USA,"548,644","9,853","9,996,812"
2024-08-16,IOS,RMG,USA,"815,602","24,682","7,622,694"
2024-08-16,IOS,Sportsbetting,USA,"2,159,828","143,538","22,505,135"
2024-08-16,ANDROID,Sportsbetting,USA,"649,365","32,803","6,739,768"
2024-08-17,ANDROID,RMG,USA,"544,284","11,615","9,272,438"
2024-08-17,IOS,RMG,USA,"920,243","25,471","7,824,657"
2024-08-17,ANDROID,Sportsbetting,USA,"674,776","40,773","7,456,190"
