date_utc,os,state,subgenre,gross_spend,installs,d7_users,cpm,cpi,spend_share_state_level,avg_user_spend,unique_app_bundles
2024-08-01,IOS,AZ,Sportsbetting,188.880552,52,8,1.501865017,3.632318308,3.24%,23.610069,1
2024-08-01,IOS,CO,Sportsbetting,202.597884,54,34,1.592951032,3.751812667,3.48%,5.958761294,1
2024-08-01,IOS,CT,Sportsbetting,117.346596,20,20,3.034878084,5.8673298,2.02%,5.8673298,1
2024-08-01,ANDROID,CT,Sportsbetting,238.129002,10,,8.069434158,23.8129002,5.87%,,1
2024-08-01,IOS,FL,Sportsbetting,0.112834,2,,1.12834,0.056417,0.00%,,1
2024-08-01,IOS,IA,Sportsbetting,58.990376,12,,1.368876781,4.915864667,1.01%,,1
2024-08-01,IOS,IL,Sportsbetting,585.671202,108,238,1.995690167,5.4228815,10.06%,2.46080337,1
2024-08-01,IOS,KS,Sportsbetting,33.189156,6,16,0.929043668,5.531526,0.57%,2.07432225,1
2024-08-01,IOS,KY,Sportsbetting,125.619282,24,2,1.389009952,5.23413675,2.16%,62.809641,1
2024-08-01,IOS,LA,Sportsbetting,152.93083,38,38,1.350597269,4.024495526,2.63%,4.024495526,1
2024-08-01,IOS,MA,Sportsbetting,264.892084,42,56,3.179518965,6.306954381,4.55%,4.730215786,1
2024-08-01,IOS,MD,Sportsbetting,279.645022,100,16,2.30224937,2.79645022,4.80%,17.47781388,1
2024-08-01,IOS,ME,Sportsbetting,39.130046,2,,1.614675497,19.565023,0.67%,,1
2024-08-01,IOS,MI,Sportsbetting,434.480474,106,132,2.446371516,4.098872396,7.46%,3.291518742,1
2024-08-01,IOS,MI,RMG,1482.030488,22,4,4.435756152,67.36502218,31.23%,370.507622,1
2024-08-01,ANDROID,MI,Sportsbetting,1613.168272,56,,7.214204517,28.80657629,39.80%,,1
2024-08-01,IOS,NC,Sportsbetting,1258.00268,114,8,3.563403751,11.03511123,21.61%,157.250335,1
2024-08-01,IOS,NJ,RMG,667.483238,8,,5.855938009,83.43540475,14.07%,,1
2024-08-01,ANDROID,NJ,Sportsbetting,454.81521,8,2,8.191326453,56.85190125,11.22%,227.407605,1
2024-08-01,IOS,NJ,Sportsbetting,264.889272,48,26,2.798914539,5.5185265,4.55%,10.18804892,1
2024-08-01,IOS,NY,Sportsbetting,803.008166,212,278,2.063916946,3.787774368,13.79%,2.888518583,1
2024-08-01,IOS,OH,Sportsbetting,321.446776,76,626,1.910394361,4.229562842,5.52%,0.513493252,1
2024-08-01,IOS,PA,RMG,1959.716522,46,4,5.274946629,42.60253309,41.30%,489.9291305,1
2024-08-01,ANDROID,PA,Sportsbetting,1511.418946,36,2,7.844762158,41.98385961,37.29%,755.709473,1
2024-08-01,IOS,PA,Sportsbetting,303.121792,114,62,1.812149027,2.658963088,5.21%,4.889061161,1
2024-08-01,IOS,TN,Sportsbetting,209.999804,44,40,1.557862047,4.772722818,3.61%,5.2499951,1
2024-08-01,IOS,VA,Sportsbetting,118.935234,36,10,1.472371611,3.3037565,2.04%,11.8935234,1
2024-08-01,IOS,WV,RMG,240.627004,4,,6.950520046,60.156751,5.07%,,1
2024-08-01,IOS,WV,Sportsbetting,43.25607,12,256,2.886432003,3.6046725,0.74%,0.168969023,1
2024-08-01,IOS,WY,Sportsbetting,5.480452,2,,0.839787312,2.740226,0.09%,,1
2024-08-02,IOS,AZ,Sportsbetting,350.237398,66,48,2.18477804,5.306627242,4.72%,7.296612458,1
2024-08-02,IOS,CO,Sportsbetting,324.88328,64,60,2.021248025,5.07630125,4.38%,5.414721333,1
2024-08-02,IOS,CT,Sportsbetting,169.839472,28,76,3.421010192,6.065695429,2.29%,2.234729895,1
2024-08-02,IOS,CT,RMG,559.617658,18,2,5.46736545,31.08986989,8.34%,279.808829,1
2024-08-02,ANDROID,CT,Sportsbetting,343.60568,6,,9.017575058,57.26761333,5.25%,,1
2024-08-02,IOS,IA,Sportsbetting,60.331954,20,2,1.61237784,3.0165977,0.81%,30.165977,1
2024-08-02,IOS,IL,Sportsbetting,656.944148,134,248,2.602129999,4.902568269,8.85%,2.648968339,1
2024-08-02,IOS,KY,Sportsbetting,108.874728,22,2,1.596778247,4.948851273,1.47%,54.437364,1
2024-08-02,IOS,LA,Sportsbetting,153.859074,56,102,1.483923016,2.747483464,2.07%,1.508422294,1
2024-08-02,IOS,MA,Sportsbetting,385.206618,60,66,3.473271221,6.4201103,5.19%,5.836463909,1
2024-08-02,IOS,MD,Sportsbetting,365.276838,100,136,2.972243507,3.65276838,4.92%,2.685859103,1
2024-08-02,IOS,ME,Sportsbetting,31.184236,2,,1.393024033,15.592118,0.42%,,1
2024-08-02,IOS,MI,Sportsbetting,623.521586,164,170,2.973880295,3.80196089,8.40%,3.667774035,1
2024-08-02,IOS,MI,RMG,2165.441208,50,6,4.765789283,43.30882416,32.29%,360.906868,1
2024-08-02,ANDROID,MI,Sportsbetting,2569.47627,46,6,8.965937393,55.85817978,39.24%,428.246045,1
2024-08-02,IOS,NC,Sportsbetting,1657.37749,154,26,3.372450869,10.76219149,22.34%,63.74528808,1
2024-08-02,IOS,NJ,Sportsbetting,379.631778,72,30,3.081977123,5.272663583,5.12%,12.6543926,1
2024-08-02,IOS,NJ,RMG,872.954982,14,,5.802293001,62.35392729,13.02%,,1
2024-08-02,ANDROID,NJ,Sportsbetting,776.842024,22,,10.62566029,35.31100109,11.86%,,1
2024-08-02,IOS,NY,Sportsbetting,951.69845,242,568,2.57414772,3.932638223,12.83%,1.67552544,1
2024-08-02,IOS,OH,Sportsbetting,404.910288,116,582,2.317560631,3.490605931,5.46%,0.695722144,1
2024-08-02,ANDROID,PA,Sportsbetting,2493.913626,68,4,10.15089964,36.67520038,38.08%,623.4784065,1
2024-08-02,IOS,PA,RMG,2794.411654,74,6,5.292726989,37.76231965,41.67%,465.7352757,1
2024-08-02,IOS,PA,Sportsbetting,370.115732,162,64,2.213584359,2.284665012,4.99%,5.783058313,1
2024-08-02,IOS,TN,Sportsbetting,227.042822,66,48,1.742087825,3.440042758,3.06%,4.730058792,1
2024-08-02,IOS,TX,Sportsbetting,0.60634,2,,1.179649805,0.30317,0.01%,,1
2024-08-02,IOS,VA,Sportsbetting,127.199126,52,6,1.584877844,2.446137038,1.71%,21.19985433,1
2024-08-02,IOS,VT,Sportsbetting,6.026712,2,,1.260291092,3.013356,0.08%,,1
2024-08-02,ANDROID,WV,Sportsbetting,361.21437,10,2,14.90158292,36.121437,5.52%,180.607185,1
2024-08-02,IOS,WV,Sportsbetting,46.291704,14,96,2.785636298,3.306550286,0.62%,0.48220525,1
2024-08-02,IOS,WV,RMG,313.862614,10,,7.726419526,31.3862614,4.68%,,1
2024-08-03,IOS,AZ,Sportsbetting,451.462426,70,50,2.517607577,6.449463229,4.33%,9.02924852,1
2024-08-03,IOS,CO,Sportsbetting,458.558588,66,52,2.664891779,6.947857394,4.40%,8.818434385,1
2024-08-03,IOS,CT,Sportsbetting,251.516116,42,78,3.885018783,5.988478952,2.41%,3.22456559,1
2024-08-03,ANDROID,CT,Sportsbetting,353.09011,10,,9.422771936,35.309011,5.33%,,1
2024-08-03,IOS,CT,RMG,559.665154,10,,4.970648116,55.9665154,8.53%,,1
2024-08-03,IOS,IA,Sportsbetting,92.500294,24,,2.215151444,3.854178917,0.89%,,1
2024-08-03,IOS,IL,Sportsbetting,850.219642,190,356,3.08256099,4.474840221,8.16%,2.388257421,1
2024-08-03,IOS,KY,Sportsbetting,126.668104,14,26,2.002594448,9.047721714,1.22%,4.871850154,1
2024-08-03,IOS,LA,Sportsbetting,283.251296,94,112,1.997794473,3.01331166,2.72%,2.529029429,1
2024-08-03,IOS,MA,Sportsbetting,485.102012,98,54,4.113543959,4.950020531,4.65%,8.983370593,1
2024-08-03,IOS,MD,Sportsbetting,505.95169,142,178,3.279182913,3.56304007,4.85%,2.842425225,1
2024-08-03,IOS,ME,Sportsbetting,59.822452,6,,1.881090875,9.970408667,0.57%,,1
2024-08-03,IOS,MI,Sportsbetting,859.798598,202,212,3.938032895,4.256428703,8.25%,4.055653764,1
2024-08-03,ANDROID,MI,Sportsbetting,2614.252162,56,8,9.457125666,46.68307432,39.46%,326.7815203,1
2024-08-03,IOS,MI,RMG,1955.177404,48,2,4.42602175,40.73286258,29.80%,977.588702,1
2024-08-03,IOS,NC,Sportsbetting,2369.38113,188,18,3.906633663,12.60309112,22.73%,131.632285,1
2024-08-03,IOS,NJ,RMG,925.633512,24,2,5.43282297,38.568063,14.11%,462.816756,1
2024-08-03,ANDROID,NJ,Sportsbetting,757.604476,26,,11.05830501,29.13863369,11.44%,,1
2024-08-03,IOS,NJ,Sportsbetting,621.021576,118,48,3.97682874,5.262894712,5.96%,12.9379495,1
2024-08-03,IOS,NY,Sportsbetting,1281.389634,332,644,2.912474223,3.859607331,12.29%,1.989735457,1
2024-08-03,IOS,OH,Sportsbetting,558.518242,152,76,3.038992741,3.674462118,5.36%,7.348924237,1
2024-08-03,IOS,PA,RMG,2757.841054,58,2,4.913450328,47.54898369,42.03%,1378.920527,1
2024-08-03,IOS,PA,Sportsbetting,542.389102,202,48,2.545925695,2.685094564,5.20%,11.29977296,1
2024-08-03,ANDROID,PA,Sportsbetting,2490.648458,40,4,10.57285927,62.26621145,37.60%,622.6621145,1
2024-08-03,IOS,TN,Sportsbetting,299.109996,86,58,2.191185706,3.478023209,2.87%,5.157068897,1
2024-08-03,IOS,TX,Sportsbetting,1.482374,2,,1.398466038,0.741187,0.01%,,1
2024-08-03,IOS,VA,Sportsbetting,210.40612,70,6,1.819964709,3.005801714,2.02%,35.06768667,1
2024-08-03,IOS,WV,Sportsbetting,74.459908,18,120,3.50465537,4.136661556,0.71%,0.620499233,1
2024-08-03,IOS,WV,RMG,363.260438,4,,8.309173292,90.8151095,5.54%,,1
2024-08-03,ANDROID,WV,Sportsbetting,406.494004,14,2,17.01523667,29.035286,6.14%,203.247002,1
2024-08-04,IOS,AZ,Sportsbetting,375.581114,96,46,2.280367658,3.912303271,5.58%,8.164806826,1
2024-08-04,IOS,CO,Sportsbetting,310.33948,84,58,1.93384439,3.694517619,4.61%,5.35068069,1
2024-08-04,IOS,CT,RMG,553.70607,6,,6.133344447,92.284345,9.13%,,1
2024-08-04,ANDROID,CT,Sportsbetting,386.305058,6,,10.7480123,64.38417633,5.46%,,1
2024-08-04,IOS,CT,Sportsbetting,147.845234,40,14,2.610077572,3.69613085,2.20%,10.56037386,1
2024-08-04,IOS,IA,Sportsbetting,58.451424,12,2,1.521934698,4.870952,0.87%,29.225712,1
