utc_week,os,state,subgenre,gross_spend,installs,d7_users,cpm,cpi,spend_share_state_level,avg_user_spend,unique_app_bundles,,,,WITH base AS (
2024-08-26,IOS,IL,Sportsbetting,6647.534174,678,"2,254.67",1.598796155,7.671100063,0.065894237,36.7117876,3,,,,SELECT
2024-08-26,IOS,WV,Sportsbetting,936.1762973,26,386,1.782406484,21.39642285,0.005379294,6.563596437,3,,,,"FORMAT_DATE('%F', DATE_TRUNC(date_utc, WEEK(MONDAY))) AS utc_week,"
2024-08-26,IOS,AZ,Sportsbetting,6733.080706,142.6666667,"1,881",2.085071688,25.76822848,0.033839632,9.938395134,3,,,,"--FORMAT_DATE(date_utc),"
2024-08-26,IOS,NC,Sportsbetting,11438.88139,340.6666667,664,2.312495326,25.90586852,0.087478901,67.39788807,3,,,,"os,"
2024-08-26,IOS,TN,Sportsbetting,5266.061053,335.3333333,951.3333333,1.743388723,12.60016691,0.034361247,31.56212962,3,,,,"app_market_bundle,"
2024-08-26,IOS,VA,Sportsbetting,4863.554513,266.6666667,"1,359",1.68723395,12.14504298,0.029992784,10.82598092,3,,,,CASE
2024-08-26,IOS,MA,Sportsbetting,4724.100029,122,784,1.824138536,23.10403495,0.026140653,12.48600326,3,,,,WHEN sub_genre IN ('Casinos & Gambling') THEN 'RMG'
2024-08-26,IOS,CT,Sportsbetting,2221.065319,74.66666667,852,1.598713239,21.30160181,0.011548283,6.768322457,3,,,,"WHEN sub_genre IN ('Sports Betting', 'Fantasy Sports') THEN 'Sportsbetting'"
2024-09-02,IOS,AZ,Sportsbetting,22196.66251,300.6666667,"1,192",4.981930116,39.34579048,0.040293205,45.22773001,3,,,,"END AS subgenre,"
2024-09-02,IOS,WV,Sportsbetting,4186.241229,38.66666667,292,4.261988473,41.9875404,0.005214914,51.68800516,3,,,,"state,"
2024-09-02,IOS,CT,Sportsbetting,8275.972615,168.6666667,747,4.11587018,29.37733881,0.01465322,29.69153695,3,,,,"SUM(gross_spend) as gross_spend,"
2024-09-02,IOS,MA,Sportsbetting,16455.42005,263.3333333,559.3333333,4.184604445,33.69472929,0.02809131,45.56913513,3,,,,"SUM(installs) as installs,"
2024-09-02,IOS,IL,Sportsbetting,22098.35733,"1,480","3,296",3.50087299,9.223828697,0.065107346,118.310329,3,,,,"SUM(kpi_users_d7) as d7_users,"
2024-09-02,IOS,NC,Sportsbetting,24534.13584,"1,148.67","1,186.67",4.067352275,13.48661856,0.075328852,100.3867886,3,,,,"AVG(SAFE_DIVIDE(gross_spend * 1000, imp)) AS avg_cpm,"
2024-09-02,IOS,VA,Sportsbetting,11549.41768,584,765.3333333,3.506386827,11.38448317,0.030017694,65.1255537,3,,,,"AVG(SAFE_DIVIDE(gross_spend, installs)) AS avg_cpi,"
2024-09-02,IOS,TN,Sportsbetting,12547.08123,558.6666667,"1,147.33",3.709364993,14.99595818,0.036405875,85.02620805,3,,,,"AVG(SAFE_DIVIDE(cohort_act, cohort_ins)) AS avg_ftd_percent,"
2024-09-09,IOS,AZ,Sportsbetting,17787.48773,239.3333333,"1,260.67",4.818194815,44.4916894,0.042042229,69.99531605,3,,,,"AVG(SAFE_DIVIDE(gross_spend, app_spend)) AS avg_spend_share,"
2024-09-09,IOS,WV,Sportsbetting,2746.483963,28,228,3.785234737,42.61444046,0.005018236,48.38946284,3,,,,"AVG(SAFE_DIVIDE(gross_spend, kpi_users_d7)) AS avg_user_spend"
2024-09-09,IOS,MA,Sportsbetting,11955.06655,235.3333333,496,3.861899529,28.53267744,0.026949244,59.16430258,3,,,,FROM
