period_start,period_end,os,sub_genre,state,n_apps,cpm_bm,ctr_bm,ipm_bm,cvr_bm,i2a_bm,cpi_bm,cpftd_bm,cohort_imp,cohort_clk,cohort_ins,cohort_act,cohort_spend,cpm_weighted,cpi_weighted,cpftd_weighted,total_spend_all_states_ytd,state_spend_share
2025-01-01,2025-09-01,ANDROID,RMG,LA,0,,,,,,,,,,,,,,,,"$214,300.35",
2025-01-01,2025-09-01,ANDROID,RMG,IL,0,,,,,,,,,,,,,,,,"$214,300.35",
2025-01-01,2025-09-01,ANDROID,RMG,TN,0,,,,,,,,,,,,,,,,"$214,300.35",
2025-01-01,2025-09-01,ANDROID,RMG,CT,1,,,,,,,,,,,,"$3,705.15",,,,"$214,300.35",1.73%
2025-01-01,2025-09-01,ANDROID,Sportsbetting,MI,7,$4.11,3.87%,0.1769188168,0.0009434562586,0.1273394898,14.78256034,$117.98,47707754,3006518,8051,108504,"$437,150.36",$9.16,$54.30,$4.03,"$1,330,282.70",32.86%
2025-01-01,2025-09-01,ANDROID,RMG,MI,1,,,,,,,,,,,,"$64,592.52",,,,"$214,300.35",30.14%
2025-01-01,2025-09-01,ANDROID,RMG,WV,1,,,,,,,,,,,,"$15,504.28",,,,"$214,300.35",7.23%
2025-01-01,2025-09-01,ANDROID,Sportsbetting,PA,6,$6.09,5.84%,0.1703783295,0.000592846209,0.1037185355,17.79652541,$149.00,38612347,2536948,5545,273178,"$393,789.82",$10.20,$71.02,$1.44,"$1,330,282.70",29.60%
2025-01-01,2025-09-01,ANDROID,RMG,PA,1,,,,,,,,,,,,"$77,837.73",,,,"$214,300.35",36.32%
2025-01-01,2025-09-01,ANDROID,Sportsbetting,NJ,7,$3.83,3.50%,0.1282577346,0.0009421861897,0.256123993,15.24329094,$118.28,19875029,881031,2395,25383,"$119,778.28",$6.03,$50.01,$4.72,"$1,330,282.70",9.00%
2025-01-01,2025-09-01,ANDROID,RMG,NJ,1,,,,,,,,,,,,"$52,660.68",,,,"$214,300.35",24.57%
2025-01-01,2025-09-01,ANDROID,Sportsbetting,WV,7,$3.03,2.75%,0.2694396359,0.001428863033,0.1534246575,9.397014525,$77.23,6848948,470990,1807,81856,"$75,478.25",$11.02,$41.77,$0.92,"$1,330,282.70",5.67%
2025-01-01,2025-09-01,ANDROID,Sportsbetting,CT,3,$8.98,6.12%,0.136855253,0.101502906,45.40975806,40.23281835,$81.36,5349906,301837,760,46501,"$40,335.28",$7.54,$53.07,$0.87,"$1,330,282.70",3.03%
2025-01-01,2025-09-01,ANDROID,Sportsbetting,NC,5,$1.22,2.04%,0.09743170038,0.001081108352,0.1656804734,8.271643,$93.80,9530892,357537,1170,358,"$33,806.35",$3.55,$28.89,$94.43,"$1,330,282.70",2.54%
2025-01-01,2025-09-01,ANDROID,Sportsbetting,ON,1,,,,,,,,,,,,"$33,588.33",,,,"$1,330,282.70",2.52%
2025-01-01,2025-09-01,ANDROID,Sportsbetting,IL,5,$1.27,1.97%,0.1288512198,0.001120619397,0.1111111111,7.65271235,$78.72,9305663,314630,1191,115,"$26,501.75",$2.85,$22.25,$230.45,"$1,330,282.70",1.99%
2025-01-01,2025-09-01,ANDROID,Sportsbetting,OH,4,$2.49,2.78%,0.09256035331,0.001658717028,0.2442839952,10.44833896,$61.11,8362681,298930,1213,558,"$25,176.79",$3.01,$20.76,$45.12,"$1,330,282.70",1.89%
2025-01-01,2025-09-01,ANDROID,Sportsbetting,NY,3,$3.50,4.22%,0.1638711037,0.001364847655,0.5277660537,4.745969461,$79.22,5969970,293035,1169,568,"$22,494.46",$3.77,$19.24,$39.60,"$1,330,282.70",1.69%
2025-01-01,2025-09-01,ANDROID,Sportsbetting,KY,5,$1.23,1.55%,0.2364811603,0.001476559616,0.3180212014,5.702246631,$56.63,3901297,177322,605,137,"$17,295.42",$4.43,$28.59,$126.24,"$1,330,282.70",1.30%
2025-01-01,2025-09-01,ANDROID,Sportsbetting,AZ,6,$2.57,2.91%,0.2141187629,0.002592085787,0.2820936639,7.499968167,$49.28,4786974,184106,603,991,"$15,736.08",$3.29,$26.10,$15.88,"$1,330,282.70",1.18%
